"filename", "language", "Markdown", "C", "Makefile", "GLSL", "comment", "blank", "total"
"d:\WorkDir\OpenGL\hello_world\README.md", "Markdown", 7, 0, 0, 0, 0, 6, 13
"d:\WorkDir\OpenGL\hello_world\hello_gl.c", "C", 0, 105, 0, 0, 11, 21, 137
"d:\WorkDir\OpenGL\hello_world\include\camera.h", "C", 0, 21, 0, 0, 0, 7, 28
"d:\WorkDir\OpenGL\hello_world\include\geodata.h", "C", 0, 80, 0, 0, 0, 13, 93
"d:\WorkDir\OpenGL\hello_world\include\geometry.h", "C", 0, 55, 0, 0, 3, 9, 67
"d:\WorkDir\OpenGL\hello_world\include\gutils.h", "C", 0, 18, 0, 0, 1, 5, 24
"d:\WorkDir\OpenGL\hello_world\include\tex.h", "C", 0, 19, 0, 0, 0, 5, 24
"d:\WorkDir\OpenGL\hello_world\lib\camera.c", "C", 0, 84, 0, 0, 6, 18, 108
"d:\WorkDir\OpenGL\hello_world\lib\geometry.c", "C", 0, 64, 0, 0, 3, 10, 77
"d:\WorkDir\OpenGL\hello_world\lib\glad\gl.c", "C", 0, 8099, 0, 0, 3, 75, 8177
"d:\WorkDir\OpenGL\hello_world\lib\gutils.c", "C", 0, 80, 0, 0, 3, 16, 99
"d:\WorkDir\OpenGL\hello_world\lib\stb_image.c", "C", 0, 2, 0, 0, 0, 0, 2
"d:\WorkDir\OpenGL\hello_world\lib\tex.c", "C", 0, 29, 0, 0, 3, 4, 36
"d:\WorkDir\OpenGL\hello_world\makefile", "Makefile", 0, 0, 18, 0, 1, 7, 26
"d:\WorkDir\OpenGL\hello_world\shaders\object.frag", "GLSL", 0, 0, 0, 7, 0, 3, 10
"d:\WorkDir\OpenGL\hello_world\shaders\pvm.vert", "GLSL", 0, 0, 0, 8, 0, 2, 10
"d:\WorkDir\OpenGL\hello_world\shaders\source.frag", "GLSL", 0, 0, 0, 5, 0, 2, 7
"Total", "-", 7, 8656, 18, 20, 34, 203, 8938
